====================================================================================================
ADAPTIVE WEIGHT OPTIMIZER - FINAL RESULTS
====================================================================================================
DRY RUN: ON (template files not modified)
RUN FINGERPRINT: see JSON output (runFingerprint)
OPT_SEED: d

STEP 1: HISTORICAL METRIC CORRELATIONS
Functions: buildHistoricalMetricSamples, computeHistoricalMetricCorrelations (adaptiveOptimizer_v2.js)
  Approach - Mid (100-150) :: Approach <150 FW GIR | mean=0.8081, stdDev=0.0356, min=0.6640, max=0.8840, count=80 [stdDev<=0.05]
  Approach - Long (150-200) :: Approach <200 FW GIR | mean=0.6991, stdDev=0.0362, min=0.6310, max=0.7770, count=80 [stdDev<=0.05]
  Approach - Short (<100) :: Approach <100 GIR | mean=0.8518, stdDev=0.0410, min=0.7680, max=0.9250, count=80 [stdDev<=0.05]
  Approach - Long (150-200) :: Approach >150 Rough GIR | mean=0.3422, stdDev=0.0410, min=0.2330, max=0.4320, count=80 [stdDev<=0.05]
  Approach - Very Long (>200) :: Approach >200 FW GIR | mean=0.4859, stdDev=0.0424, min=0.3910, max=0.6300, count=80 [stdDev<=0.05]
  Approach - Mid (100-150) :: Approach <150 Rough GIR | mean=0.5561, stdDev=0.0460, min=0.4400, max=0.6840, count=80 [stdDev<=0.05]

Optimized Rankings (Current Year 2026):
  1: 18417 - Scheffler, Scottie | refined=1.1349, weighted=1.1491
  2: 13562 - Matsuyama, Hideki | refined=0.8412, weighted=0.8517
  3: 18841 - Hovland, Viktor | refined=0.8364, weighted=0.8468
  4: 17536 - Spaun, J.J. | refined=0.7794, weighted=0.7891
  5: 13900 - Lowry, Shane | refined=0.7332, weighted=0.7424
  6: 27774 - Gotterup, Chris | refined=0.7609, weighted=0.7754
  7: 14578 - Henley, Russell | refined=0.6718, weighted=0.6802
  8: 17606 - Berger, Daniel | refined=0.6408, weighted=0.6488
  9: 15466 - Cantlay, Patrick | refined=0.6450, weighted=0.6530
  10: 14609 - Kim, Si Woo | refined=0.6722, weighted=0.6806
  11: 22085 - Morikawa, Collin | refined=0.6141, weighted=0.6218
  12: 7399 - Glover, Lucas | refined=0.5867, weighted=0.5940
  13: 12294 - Fleetwood, Tommy | refined=0.5451, weighted=0.5520
  14: 23604 - Clark, Wyndham | refined=0.5623, weighted=0.5693
  15: 17511 - Straka, Sepp | refined=0.5039, weighted=0.5102
  16: 19895 - Schauffele, Xander | refined=0.4939, weighted=0.5001
  17: 29767 - Gerard, Ryan | refined=0.5047, weighted=0.5110
  18: 6093 - Rose, Justin | refined=0.4739, weighted=0.4798
  19: 17576 - Conners, Corey | refined=0.4465, weighted=0.4521
  20: 10091 - McIlroy, Rory | refined=0.3256, weighted=0.3297
  21: 18554 - Rai, Aaron | refined=0.2873, weighted=0.2909
  22: 18634 - McNealy, Maverick | refined=0.2719, weighted=0.2771
  23: 21891 - Kitayama, Kurt | refined=0.2361, weighted=0.2391
  24: 8825 - Harman, Brian | refined=0.2411, weighted=0.2441
  25: 11889 - Fox, Ryan | refined=0.2288, weighted=0.2317
  26: 16394 - Jaeger, Stephan | refined=0.2209, weighted=0.2237
  27: 17543 - Kim, Michael | refined=0.1943, weighted=0.1968
  28: 9771 - Day, Jason | refined=0.1910, weighted=0.1934
  29: 24968 - Griffin, Ben | refined=0.1949, weighted=0.1974
  30: 19396 - Knapp, Jake | refined=0.1769, weighted=0.1791
  31: 23816 - Valimaki, Sami | refined=0.1560, weighted=0.1580
  32: 23014 - Theegala, Sahith | refined=0.1495, weighted=0.1514
  33: 15575 - Hoge, Tom | refined=0.0591, weighted=0.0598
  34: 12965 - Fowler, Rickie | refined=0.0446, weighted=0.0451
  35: 26096 - Bhatia, Akshay | refined=0.0340, weighted=0.0344
  36: 28309 - Coody, Pierceson | refined=0.0316, weighted=0.0320
  37: 14502 - Cauley, Bud | refined=0.0334, weighted=0.0338
  38: 16283 - Rodgers, Patrick | refined=0.0326, weighted=0.0330
  39: 17646 - Fitzpatrick, Matt | refined=0.0237, weighted=0.0239
  40: 12808 - Grillo, Emiliano | refined=0.0044, weighted=0.0044
  41: 23504 - Hoey, Rico | refined=-0.0119, weighted=-0.0121
  42: 26651 - Young, Cameron | refined=-0.0079, weighted=-0.0080
  43: 13126 - Taylor, Nick | refined=-0.0086, weighted=-0.0087
  44: 12423 - Kirk, Chris | refined=-0.0129, weighted=-0.0130
  45: 29433 - Bridgeman, Jacob | refined=-0.0209, weighted=-0.0211
  46: 26649 - Thorbjornsen, Michael | refined=-0.0334, weighted=-0.0338
  47: 28635 - McCarty, Matt | refined=-0.0599, weighted=-0.0606
  48: 22760 - Hisatsune, Ryo | refined=-0.0815, weighted=-0.0825
  49: 13872 - Bradley, Keegan | refined=-0.0845, weighted=-0.0855
  50: 14577 - English, Harris | refined=-0.1117, weighted=-0.1131
  51: 23505 - McGreevy, Max | refined=-0.1229, weighted=-0.1244
  52: 23323 - MacIntyre, Robert | refined=-0.1293, weighted=-0.1309
  53: 21554 - Poston, J.T. | refined=-0.1445, weighted=-0.1464
  54: 18474 - Smalley, Alex | refined=-0.1727, weighted=-0.1748
  55: 27194 - Hall, Harry | refined=-0.1980, weighted=-0.2005
  56: 19483 - Burns, Sam | refined=-0.2250, weighted=-0.2278
  57: 23475 - Novak, Andrew | refined=-0.2228, weighted=-0.2256
  58: 11676 - Finau, Tony | refined=-0.2441, weighted=-0.2471
  59: 22833 - Echavarria, Nico | refined=-0.2570, weighted=-0.2602
  60: 15556 - Hughes, Mackenzie | refined=-0.2590, weighted=-0.2622
  61: 19870 - McCarthy, Denny | refined=-0.2658, weighted=-0.2692
  62: 11276 - Horschel, Billy | refined=-0.3071, weighted=-0.3110
  63: 14636 - Spieth, Jordan | refined=-0.3329, weighted=-0.3371
  64: 17780 - Pendrith, Taylor | refined=-0.3349, weighted=-0.3391
  65: 18628 - Campbell, Brian | refined=-0.3637, weighted=-0.3682
  66: 23950 - Aberg, Ludvig | refined=-0.4092, weighted=-0.4143
  67: 17365 - Mitchell, Keith | refined=-0.4033, weighted=-0.4084
  68: 16841 - Lee, Min Woo | refined=-0.4279, weighted=-0.4332
  69: 24342 - Higgo, Garrick | refined=-0.4881, weighted=-0.4942
  70: 10419 - Noren, Alex | refined=-0.5107, weighted=-0.5171
  71: 20722 - Schmid, Matti | refined=-0.5470, weighted=-0.5538
  72: 26657 - Fisk, Steven | refined=-0.5546, weighted=-0.5615
  73: 13508 - Vegas, Jhonattan | refined=-0.5766, weighted=-0.5838
  74: 19477 - Schenk, Adam | refined=-0.5823, weighted=-0.5934
  75: 17881 - Yu, Kevin | refined=-0.6851, weighted=-0.6936
  76: 27900 - Potgieter, Aldrich | refined=-0.7232, weighted=-0.7323
  77: 28469 - Highsmith, Joe | refined=-0.7574, weighted=-0.7669
  78: 23465 - Greyserman, Max | refined=-0.8698, weighted=-0.8807
  79: 22465 - Penge, Marco | refined=-1.1128, weighted=-1.1267
  80: 25569 - Stevens, Sam | refined=-1.6515, weighted=-1.6721

STEP 4: MULTI-YEAR VALIDATION (with 2026 approach metrics)
Functions: runRanking, aggregateYearlyEvaluations (adaptiveOptimizer_v2.js)
  2021: Corr=0.8776, R²=0.7702, RMSE=47.45, MAE=45.58, Mean Err=45.58, Std Err=13.16, Top-10=0.0%, Top-20=0.0%, Top-20 Weighted=95.7%, Subset RMSE=59.22, Subset Top-20=0.0%, Pct RMSE=5.38, Stress=INSUFFICIENT (players<20), Top-10 Overlap=0/10, Top-20 Overlap=0/20, Players=12
  2022: Corr=0.8106, R²=0.6571, RMSE=45.10, MAE=43.00, Mean Err=43.00, Std Err=13.62, Top-10=0.0%, Top-20=0.0%, Top-20 Weighted=81.3%, Subset RMSE=55.47, Subset Top-20=0.0%, Pct RMSE=4.62, Stress=INSUFFICIENT (players<20), Top-10 Overlap=0/10, Top-20 Overlap=0/20, Players=13
  2023: Corr=0.8105, R²=0.6569, RMSE=43.93, MAE=41.35, Mean Err=41.35, Std Err=14.82, Top-10=0.0%, Top-20=0.0%, Top-20 Weighted=94.3%, Subset RMSE=56.98, Subset Top-20=0.0%, Pct RMSE=3.56, Stress=INSUFFICIENT (players<20), Top-10 Overlap=0/10, Top-20 Overlap=0/20, Players=17
  2024: Corr=0.6815, R²=0.4644, RMSE=25.64, MAE=20.98, Mean Err=18.36, Std Err=17.90, Top-10=0.0%, Top-20=0.0%, Top-20 Weighted=77.7%, Subset RMSE=36.30, Subset Top-20=0.0%, Pct RMSE=0.82, Stress=PASS, Top-10 Overlap=0/10, Top-20 Overlap=0/20, Players=45
  2025: Corr=0.8128, R²=0.6607, RMSE=21.98, MAE=18.12, Mean Err=17.29, Std Err=13.56, Top-10=3.6%, Top-20=3.6%, Top-20 Weighted=93.1%, Subset RMSE=27.84, Subset Top-20=5.0%, Pct RMSE=0.56, Stress=PASS, Top-10 Overlap=1/10, Top-20 Overlap=1/20, Players=51
  2026: Corr=0.2342, R²=0.0549, RMSE=28.77, MAE=22.24, Mean Err=1.49, Std Err=28.73, Top-10=40.0%, Top-20=45.0%, Top-20 Weighted=50.8%, Subset RMSE=27.81, Subset Top-20=45.0%, Pct RMSE=0.35, Stress=FAIL (top20W<60%), Top-10 Overlap=4/10, Top-20 Overlap=9/20, Players=80

RECOMMENDATION:
Use optimized weights (improvement: 0.0687)

TEMPLATE WRITE SUMMARY:
Event template (PEBBLE_BEACH_GOLF_LINKS): not written
Standard templates: no updates

---
