Rank,Player Name,DG ID,Data Coverage %,Dampening Applied?,Group Scores (Before Dampening),Group Scores (After Dampening if applicable),Weighted Score,Confidence Factor,Past Perf Multiplier,Refined Weighted Score,Final WAR,Notes
74,"Reitan, Kristoffer",21407,95.1,NO,Driving Performance: 0.037; Approach - Short (<100): -0.799; Approach - Mid (100-150): -0.169; Approach - Long (150-200): 0.088; Approach - Very Long (>200): -0.796; Putting: -0.246; Around the Green: -0.352; Scoring: -0.224; Course Management: -0.365,,-0.262,0.988,0.85,-0.259,-0.15,
75,"Grillo, Emiliano",12808,95.1,NO,Driving Performance: -2.541; Approach - Short (<100): 0.340; Approach - Mid (100-150): 0.066; Approach - Long (150-200): -0.079; Approach - Very Long (>200): 0.154; Putting: 0.745; Around the Green: -0.812; Scoring: 0.308; Course Management: -0.244,,-0.341,0.988,0.838,-0.336,-0.08,
76,"Kim, Tom",24766,95.1,NO,Driving Performance: -1.050; Approach - Short (<100): -0.080; Approach - Mid (100-150): -0.008; Approach - Long (150-200): -0.368; Approach - Very Long (>200): -0.737; Putting: -0.416; Around the Green: -0.455; Scoring: 0.061; Course Management: -0.232,,-0.322,0.988,0.82,-0.318,-0.19,
77,"Brown, Dan",20766,95.1,NO,Driving Performance: 0.581; Approach - Short (<100): -0.526; Approach - Mid (100-150): -1.129; Approach - Long (150-200): -0.480; Approach - Very Long (>200): 0.014; Putting: 1.002; Around the Green: 0.146; Scoring: -0.628; Course Management: -0.475,,-0.299,0.988,0.867,-0.295,-0.26,
78,"Ramey, Chad",19840,95.1,NO,Driving Performance: 0.221; Approach - Short (<100): 0.372; Approach - Mid (100-150): -0.392; Approach - Long (150-200): -0.618; Approach - Very Long (>200): -0.451; Putting: 0.085; Around the Green: -0.729; Scoring: -0.849; Course Management: -0.394,,-0.314,0.988,0.887,-0.31,-0.28,
79,"Thorbjornsen, Michael",26649,95.1,NO,Driving Performance: 1.136; Approach - Short (<100): -0.197; Approach - Mid (100-150): -0.352; Approach - Long (150-200): -0.224; Approach - Very Long (>200): 0.174; Putting: -1.240; Around the Green: -1.861; Scoring: -0.026; Course Management: -0.311,,-0.334,0.988,0.934,-0.33,-0.25,
80,"Hoffman, Charley",5768,95.1,NO,Driving Performance: -0.639; Approach - Short (<100): -0.521; Approach - Mid (100-150): -0.556; Approach - Long (150-200): 0.169; Approach - Very Long (>200): -0.412; Putting: -0.876; Around the Green: -0.215; Scoring: -0.297; Course Management: -0.241,,-0.368,0.988,0.796,-0.363,-0.25,
81,"Phillips, Chandler",27164,92.7,NO,Driving Performance: -3.712; Approach - Short (<100): 0.036; Approach - Mid (100-150): -0.005; Approach - Long (150-200): -0.530; Approach - Very Long (>200): -0.291; Putting: -0.223; Around the Green: 0.884; Scoring: -0.035; Course Management: -0.346,,-0.468,0.981,0.826,-0.459,-0.12,
82,"Gotterup, Chris",27774,92.7,NO,Driving Performance: -0.642; Approach - Short (<100): -0.547; Approach - Mid (100-150): -0.246; Approach - Long (150-200): -0.002; Approach - Very Long (>200): -0.544; Putting: 0.137; Around the Green: -1.618; Scoring: -0.076; Course Management: -0.094,,-0.473,0.981,1.047,-0.464,-0.24,
83,"Spaun, J.J.",17536,95.1,NO,Driving Performance: -7.008; Approach - Short (<100): 0.371; Approach - Mid (100-150): 0.408; Approach - Long (150-200): 0.393; Approach - Very Long (>200): 0.124; Putting: -0.443; Around the Green: 0.440; Scoring: 1.369; Course Management: -0.175,,-0.536,0.988,0.882,-0.53,0.18,
84,"Kirk, Chris",12423,95.1,NO,Driving Performance: -7.522; Approach - Short (<100): 0.223; Approach - Mid (100-150): 0.603; Approach - Long (150-200): -0.372; Approach - Very Long (>200): 0.156; Putting: -1.408; Around the Green: 1.015; Scoring: 0.887; Course Management: -0.204,,-0.72,0.988,0.823,-0.711,0.04,
85,"Cauley, Bud",14502,95.1,NO,Driving Performance: -7.164; Approach - Short (<100): 0.607; Approach - Mid (100-150): 0.108; Approach - Long (150-200): -0.080; Approach - Very Long (>200): -0.520; Putting: 0.692; Around the Green: 0.437; Scoring: 0.178; Course Management: -0.102,,-0.737,0.988,0.85,-0.728,0,
86,"Hojgaard, Nicolai",23602,95.1,NO,Driving Performance: -4.776; Approach - Short (<100): 0.389; Approach - Mid (100-150): -0.243; Approach - Long (150-200): 0.072; Approach - Very Long (>200): 0.370; Putting: -0.070; Around the Green: -1.039; Scoring: 0.401; Course Management: -0.055,,-0.705,0.988,0.932,-0.696,-0.16,
87,"Schmid, Matti",20722,95.1,NO,Driving Performance: -2.289; Approach - Short (<100): -0.613; Approach - Mid (100-150): -0.693; Approach - Long (150-200): 0.118; Approach - Very Long (>200): -0.013; Putting: 0.809; Around the Green: -1.237; Scoring: -0.244; Course Management: -0.263,,-0.68,0.988,0.809,-0.672,-0.33,
88,"Taylor, Nick",13126,95.1,NO,Driving Performance: -6.396; Approach - Short (<100): -0.428; Approach - Mid (100-150): -0.134; Approach - Long (150-200): -0.174; Approach - Very Long (>200): 0.035; Putting: 1.069; Around the Green: 0.720; Scoring: 0.202; Course Management: -0.125,,-0.766,0.988,0.896,-0.756,-0.09,
89,"Smalley, Alex",18474,95.1,NO,Driving Performance: -4.800; Approach - Short (<100): -0.542; Approach - Mid (100-150): -0.316; Approach - Long (150-200): 0.011; Approach - Very Long (>200): 0.166; Putting: 0.563; Around the Green: -0.124; Scoring: 0.210; Course Management: -0.085,,-0.725,0.988,0.84,-0.716,-0.22,
90,"Bridgeman, Jacob",29433,95.1,NO,Driving Performance: -5.489; Approach - Short (<100): -0.103; Approach - Mid (100-150): -0.065; Approach - Long (150-200): -0.211; Approach - Very Long (>200): -0.190; Putting: 1.390; Around the Green: -0.221; Scoring: -0.081; Course Management: -0.344,,-0.769,0.988,0.979,-0.76,-0.14,
91,"Smith, Jordan",18586,95.1,NO,Driving Performance: -6.510; Approach - Short (<100): 0.416; Approach - Mid (100-150): 0.199; Approach - Long (150-200): -0.100; Approach - Very Long (>200): -0.498; Putting: -0.664; Around the Green: -0.330; Scoring: 0.807; Course Management: -0.275,,-0.789,0.988,0.816,-0.779,-0.1,
92,"Burns, Sam",19483,95.1,NO,Driving Performance: -6.053; Approach - Short (<100): -0.244; Approach - Mid (100-150): 0.033; Approach - Long (150-200): -0.222; Approach - Very Long (>200): -0.648; Putting: 1.886; Around the Green: -0.177; Scoring: 0.154; Course Management: -0.210,,-0.796,0.988,0.929,-0.786,-0.1,
93,"Olesen, Thorbjorn",13412,95.1,NO,Driving Performance: -4.641; Approach - Short (<100): 0.048; Approach - Mid (100-150): -0.066; Approach - Long (150-200): -0.409; Approach - Very Long (>200): -0.127; Putting: -0.159; Around the Green: -0.490; Scoring: 0.201; Course Management: -0.659,,-0.769,0.988,0.829,-0.759,-0.2,
94,"Poston, J.T.",21554,95.1,NO,Driving Performance: -7.995; Approach - Short (<100): -0.591; Approach - Mid (100-150): -0.148; Approach - Long (150-200): 0.200; Approach - Very Long (>200): -0.292; Putting: -0.124; Around the Green: 1.555; Scoring: 0.641; Course Management: -0.070,,-0.837,0.988,0.944,-0.826,-0.02,
95,"Valimaki, Sami",23816,95.1,NO,Driving Performance: -6.851; Approach - Short (<100): -0.207; Approach - Mid (100-150): -0.033; Approach - Long (150-200): 0.068; Approach - Very Long (>200): 0.151; Putting: 0.910; Around the Green: -0.225; Scoring: 0.770; Course Management: -0.109,,-0.821,0.988,0.879,-0.811,-0.08,
96,"Garnett, Brice",11451,95.1,NO,Driving Performance: -5.685; Approach - Short (<100): -0.558; Approach - Mid (100-150): -0.385; Approach - Long (150-200): -0.555; Approach - Very Long (>200): -0.542; Putting: 0.213; Around the Green: 0.755; Scoring: -0.237; Course Management: -0.381,,-0.912,0.988,0.81,-0.901,-0.31,
97,"Griffin, Ben",24968,95.1,NO,Driving Performance: -9.640; Approach - Short (<100): 0.445; Approach - Mid (100-150): -0.235; Approach - Long (150-200): 0.088; Approach - Very Long (>200): 0.167; Putting: -0.093; Around the Green: 0.760; Scoring: 0.694; Course Management: -0.190,,-1.038,0.988,1.027,-1.025,0,
98,"Mouw, William",29770,95.1,NO,Driving Performance: -4.992; Approach - Short (<100): -1.099; Approach - Mid (100-150): -0.307; Approach - Long (150-200): -0.433; Approach - Very Long (>200): 0.078; Putting: 0.923; Around the Green: -0.742; Scoring: -0.097; Course Management: -0.462,,-1.028,0.988,0.806,-1.015,-0.37,
99,"Kanaya, Takumi",19729,95.1,NO,Driving Performance: -5.628; Approach - Short (<100): -0.328; Approach - Mid (100-150): -0.290; Approach - Long (150-200): -0.495; Approach - Very Long (>200): -0.889; Putting: -1.340; Around the Green: 0.342; Scoring: -0.730; Course Management: -0.352,,-1.048,0.988,0.817,-1.035,-0.33,
100,"Harman, Brian",8825,95.1,NO,Driving Performance: -10.969; Approach - Short (<100): 0.773; Approach - Mid (100-150): 0.152; Approach - Long (150-200): -0.251; Approach - Very Long (>200): -0.625; Putting: -0.072; Around the Green: 1.494; Scoring: 0.235; Course Management: -0.070,,-1.1,0.988,0.827,-1.087,0.05,
101,"Horschel, Billy",11276,95.1,NO,Driving Performance: -9.060; Approach - Short (<100): -0.303; Approach - Mid (100-150): 0.122; Approach - Long (150-200): -0.118; Approach - Very Long (>200): -0.653; Putting: 0.923; Around the Green: 0.121; Scoring: 0.390; Course Management: -0.076,,-1.134,0.988,0.832,-1.12,-0.13,
102,"Brennan, Michael",29197,82.9,NO,Driving Performance: -6.644; Approach - Short (<100): 1.537; Approach - Mid (100-150): -0.458; Approach - Long (150-200): -0.049; Approach - Very Long (>200): -0.021; Putting: -1.148; Around the Green: -1.964; Scoring: -0.547; Course Management: 0.374,,-1.123,0.955,0.8,-1.073,-0.28,
103,"Bhatia, Akshay",26096,95.1,NO,Driving Performance: -9.459; Approach - Short (<100): -0.333; Approach - Mid (100-150): 0.157; Approach - Long (150-200): 0.117; Approach - Very Long (>200): 0.098; Putting: 0.080; Around the Green: -0.499; Scoring: 0.944; Course Management: -0.321,,-1.214,0.988,0.823,-1.199,-0.11,
104,"Riley, Davis",19872,95.1,NO,Driving Performance: -5.575; Approach - Short (<100): 0.197; Approach - Mid (100-150): -0.322; Approach - Long (150-200): -0.290; Approach - Very Long (>200): -1.213; Putting: 0.277; Around the Green: -1.749; Scoring: -0.696; Course Management: -0.462,,-1.185,0.988,0.829,-1.17,-0.42,
105,"Roy, Kevin",18424,95.1,NO,Driving Performance: -7.002; Approach - Short (<100): -0.033; Approach - Mid (100-150): -0.356; Approach - Long (150-200): -0.854; Approach - Very Long (>200): 0.087; Putting: -0.814; Around the Green: 0.008; Scoring: -0.484; Course Management: -0.575,,-1.229,0.988,0.816,-1.214,-0.4,
106,"Campos, Rafael",12909,95.1,NO,Driving Performance: -4.340; Approach - Short (<100): -1.720; Approach - Mid (100-150): -0.528; Approach - Long (150-200): -0.367; Approach - Very Long (>200): -0.861; Putting: 0.208; Around the Green: -0.675; Scoring: -0.833; Course Management: -0.338,,-1.19,0.988,0.813,-1.176,-0.53,
107,"Echavarria, Nico",22833,95.1,NO,Driving Performance: -6.533; Approach - Short (<100): -0.494; Approach - Mid (100-150): -0.063; Approach - Long (150-200): 0.036; Approach - Very Long (>200): -0.422; Putting: 1.278; Around the Green: -2.640; Scoring: -0.010; Course Management: -0.283,,-1.288,0.988,0.852,-1.273,-0.26,
108,"Homa, Max",17538,95.1,NO,Driving Performance: -8.271; Approach - Short (<100): -0.204; Approach - Mid (100-150): -0.131; Approach - Long (150-200): -0.272; Approach - Very Long (>200): -0.138; Putting: 0.848; Around the Green: -0.851; Scoring: -0.022; Course Management: -0.344,,-1.28,0.988,0.865,-1.264,-0.29,
109,"Whaley, Vince",25908,95.1,NO,Driving Performance: -8.534; Approach - Short (<100): 0.063; Approach - Mid (100-150): -0.208; Approach - Long (150-200): -0.582; Approach - Very Long (>200): -0.392; Putting: 1.176; Around the Green: -0.862; Scoring: -0.261; Course Management: -0.575,,-1.368,0.988,0.824,-1.351,-0.39,
110,"Higgo, Garrick",24342,95.1,NO,Driving Performance: -9.893; Approach - Short (<100): -0.400; Approach - Mid (100-150): -0.414; Approach - Long (150-200): -0.222; Approach - Very Long (>200): -0.377; Putting: -0.190; Around the Green: -0.060; Scoring: 0.107; Course Management: -0.388,,-1.491,0.988,0.963,-1.473,-0.29,
111,"Woodland, Gary",12577,95.1,NO,Driving Performance: -9.290; Approach - Short (<100): -0.412; Approach - Mid (100-150): -0.345; Approach - Long (150-200): 0.153; Approach - Very Long (>200): 0.203; Putting: 0.187; Around the Green: -1.584; Scoring: 0.288; Course Management: -0.174,,-1.507,0.988,0.797,-1.488,-0.27,
112,"Greyserman, Max",23465,95.1,NO,Driving Performance: -9.230; Approach - Short (<100): -0.506; Approach - Mid (100-150): -0.383; Approach - Long (150-200): -0.486; Approach - Very Long (>200): -0.292; Putting: -0.171; Around the Green: 0.131; Scoring: -0.267; Course Management: -0.400,,-1.464,0.988,0.819,-1.446,-0.39,
113,"Malnati, Peter",14926,95.1,NO,Driving Performance: -12.070; Approach - Short (<100): -0.693; Approach - Mid (100-150): -0.390; Approach - Long (150-200): -0.469; Approach - Very Long (>200): -1.521; Putting: 0.488; Around the Green: 2.848; Scoring: -0.940; Course Management: -0.408,,-1.53,0.988,0.796,-1.511,-0.3,
114,"Kizzire, Patton",13470,95.1,NO,Driving Performance: -10.574; Approach - Short (<100): -0.207; Approach - Mid (100-150): 0.083; Approach - Long (150-200): -0.558; Approach - Very Long (>200): -0.903; Putting: 0.531; Around the Green: -0.378; Scoring: -0.347; Course Management: -0.313,,-1.586,0.988,0.856,-1.566,-0.3,
115,"Highsmith, Joe",28469,95.1,NO,Driving Performance: -8.990; Approach - Short (<100): -0.618; Approach - Mid (100-150): -0.448; Approach - Long (150-200): -0.126; Approach - Very Long (>200): -0.208; Putting: 0.326; Around the Green: -1.028; Scoring: -0.284; Course Management: -0.506,,-1.561,0.988,0.79,-1.542,-0.41,
116,"Van Rooyen, Erik",17550,95.1,NO,Driving Performance: -11.064; Approach - Short (<100): -0.435; Approach - Mid (100-150): -0.190; Approach - Long (150-200): -0.249; Approach - Very Long (>200): -0.504; Putting: -0.942; Around the Green: -0.507; Scoring: -0.030; Course Management: -0.295,,-1.731,0.988,0.793,-1.709,-0.35,
117,"Potgieter, Aldrich",27900,92.7,NO,Driving Performance: -11.329; Approach - Short (<100): -0.601; Approach - Mid (100-150): -0.077; Approach - Long (150-200): -0.383; Approach - Very Long (>200): -0.358; Putting: -0.440; Around the Green: -0.912; Scoring: 0.187; Course Management: -0.474,,-1.806,0.981,0.796,-1.773,-0.34,
118,"Straka, Sepp",17511,95.1,NO,Driving Performance: -18.221; Approach - Short (<100): 0.060; Approach - Mid (100-150): 0.170; Approach - Long (150-200): 0.301; Approach - Very Long (>200): 0.236; Putting: 0.056; Around the Green: -0.964; Scoring: 1.265; Course Management: -0.002,,-2.28,0.988,0.926,-2.252,-0.04,
119,"Hall, Harry",27194,95.1,NO,Driving Performance: -17.986; Approach - Short (<100): 0.236; Approach - Mid (100-150): -0.071; Approach - Long (150-200): -0.525; Approach - Very Long (>200): -0.564; Putting: 0.456; Around the Green: 0.668; Scoring: -0.316; Course Management: -0.362,,-2.344,0.988,0.98,-2.315,-0.23,
120,"Lee, Min Woo",16841,95.1,NO,Driving Performance: -16.947; Approach - Short (<100): 0.286; Approach - Mid (100-150): -0.623; Approach - Long (150-200): -0.783; Approach - Very Long (>200): -0.543; Putting: -0.622; Around the Green: 1.096; Scoring: -0.842; Course Management: -0.342,,-2.386,0.988,0.911,-2.356,-0.35,
121,"Kitayama, Kurt",21891,95.1,NO,Driving Performance: -20.309; Approach - Short (<100): 0.008; Approach - Mid (100-150): 0.047; Approach - Long (150-200): 0.037; Approach - Very Long (>200): 0.294; Putting: 0.453; Around the Green: 0.553; Scoring: 0.689; Course Management: -0.108,,-2.441,0.988,0.843,-2.411,0.01,
122,"Campbell, Brian",18628,95.1,NO,Driving Performance: -20.679; Approach - Short (<100): -0.542; Approach - Mid (100-150): -0.067; Approach - Long (150-200): -0.059; Approach - Very Long (>200): -0.535; Putting: 0.110; Around the Green: 1.456; Scoring: -0.014; Course Management: -0.309,,-2.598,0.988,0.816,-2.566,-0.16,
123,"Kim, Michael",17543,95.1,NO,Driving Performance: -22.875; Approach - Short (<100): 0.012; Approach - Mid (100-150): 0.412; Approach - Long (150-200): 0.064; Approach - Very Long (>200): -0.414; Putting: 1.107; Around the Green: 0.158; Scoring: 0.309; Course Management: -0.104,,-2.793,0.988,0.817,-2.759,0,
