Rank,Player Name,DG ID,Data Coverage %,Dampening Applied?,Group Scores (Before Dampening),Group Scores (After Dampening if applicable),Weighted Score,Confidence Factor,Past Perf Multiplier,Refined Weighted Score,Final WAR,Notes
74,"Grillo, Emiliano",12808,95.1,NO,Driving Performance: -2.544; Approach - Short (<100): 0.340; Approach - Mid (100-150): 0.066; Approach - Long (150-200): -0.079; Approach - Very Long (>200): 0.154; Putting: 0.759; Around the Green: -0.871; Scoring: 0.304; Course Management: -0.245,,-0.35,0.988,0.838,-0.345,-0.08,
75,"Kim, Tom",24766,95.1,NO,Driving Performance: -1.057; Approach - Short (<100): -0.080; Approach - Mid (100-150): -0.008; Approach - Long (150-200): -0.368; Approach - Very Long (>200): -0.737; Putting: -0.413; Around the Green: -0.497; Scoring: 0.064; Course Management: -0.234,,-0.329,0.988,0.82,-0.325,-0.2,
76,"Brown, Dan",20766,95.1,NO,Driving Performance: 0.570; Approach - Short (<100): -0.526; Approach - Mid (100-150): -1.129; Approach - Long (150-200): -0.480; Approach - Very Long (>200): 0.014; Putting: 1.018; Around the Green: 0.129; Scoring: -0.621; Course Management: -0.477,,-0.301,0.988,0.867,-0.297,-0.26,
77,"Ramey, Chad",19840,95.1,NO,Driving Performance: 0.212; Approach - Short (<100): 0.372; Approach - Mid (100-150): -0.392; Approach - Long (150-200): -0.618; Approach - Very Long (>200): -0.451; Putting: 0.093; Around the Green: -0.783; Scoring: -0.855; Course Management: -0.394,,-0.324,0.988,0.887,-0.32,-0.28,
78,"Thorbjornsen, Michael",26649,95.1,NO,Driving Performance: 1.124; Approach - Short (<100): -0.197; Approach - Mid (100-150): -0.352; Approach - Long (150-200): -0.224; Approach - Very Long (>200): 0.174; Putting: -1.245; Around the Green: -1.962; Scoring: -0.021; Course Management: -0.313,,-0.35,0.988,0.934,-0.346,-0.26,
79,"Phillips, Chandler",27164,92.7,NO,Driving Performance: -3.712; Approach - Short (<100): 0.036; Approach - Mid (100-150): -0.005; Approach - Long (150-200): -0.530; Approach - Very Long (>200): -0.291; Putting: -0.218; Around the Green: 0.899; Scoring: -0.034; Course Management: -0.347,,-0.465,0.981,0.826,-0.457,-0.12,
80,"Spaun, J.J.",17536,95.1,NO,Driving Performance: -6.999; Approach - Short (<100): 0.371; Approach - Mid (100-150): 0.408; Approach - Long (150-200): 0.393; Approach - Very Long (>200): 0.124; Putting: -0.440; Around the Green: 0.436; Scoring: 1.374; Course Management: -0.176,,-0.535,0.988,0.882,-0.528,0.18,
81,"Gotterup, Chris",27774,92.7,NO,Driving Performance: -0.651; Approach - Short (<100): -0.547; Approach - Mid (100-150): -0.246; Approach - Long (150-200): -0.002; Approach - Very Long (>200): -0.544; Putting: 0.145; Around the Green: -1.710; Scoring: -0.080; Course Management: -0.096,,-0.488,0.981,1.047,-0.479,-0.24,
82,"Kirk, Chris",12423,95.1,NO,Driving Performance: -6.980; Approach - Short (<100): 0.223; Approach - Mid (100-150): 0.603; Approach - Long (150-200): -0.372; Approach - Very Long (>200): 0.156; Putting: -1.370; Around the Green: 1.064; Scoring: 0.714; Course Management: -0.213,,-0.66,0.988,0.823,-0.652,0.04,
83,"Taylor, Nick",13126,95.1,NO,Driving Performance: -5.644; Approach - Short (<100): -0.428; Approach - Mid (100-150): -0.134; Approach - Long (150-200): -0.174; Approach - Very Long (>200): 0.035; Putting: 1.086; Around the Green: 0.713; Scoring: 0.055; Course Management: -0.141,,-0.685,0.988,0.896,-0.677,-0.1,
84,"Cauley, Bud",14502,95.1,NO,Driving Performance: -7.155; Approach - Short (<100): 0.607; Approach - Mid (100-150): 0.108; Approach - Long (150-200): -0.080; Approach - Very Long (>200): -0.520; Putting: 0.706; Around the Green: 0.433; Scoring: 0.169; Course Management: -0.104,,-0.737,0.988,0.85,-0.728,0,
85,"Burns, Sam",19483,95.1,NO,Driving Performance: -5.196; Approach - Short (<100): -0.244; Approach - Mid (100-150): 0.033; Approach - Long (150-200): -0.222; Approach - Very Long (>200): -0.648; Putting: 1.927; Around the Green: -0.222; Scoring: 0.058; Course Management: -0.209,,-0.7,0.988,0.929,-0.691,-0.11,
86,"Hojgaard, Nicolai",23602,95.1,NO,Driving Performance: -4.773; Approach - Short (<100): 0.389; Approach - Mid (100-150): -0.243; Approach - Long (150-200): 0.072; Approach - Very Long (>200): 0.370; Putting: -0.063; Around the Green: -1.105; Scoring: 0.397; Course Management: -0.057,,-0.714,0.988,0.932,-0.706,-0.17,
87,"Smalley, Alex",18474,95.1,NO,Driving Performance: -4.796; Approach - Short (<100): -0.542; Approach - Mid (100-150): -0.316; Approach - Long (150-200): 0.011; Approach - Very Long (>200): 0.166; Putting: 0.576; Around the Green: -0.152; Scoring: 0.214; Course Management: -0.086,,-0.727,0.988,0.84,-0.718,-0.23,
88,"Schmid, Matti",20722,95.1,NO,Driving Performance: -2.291; Approach - Short (<100): -0.613; Approach - Mid (100-150): -0.693; Approach - Long (150-200): 0.118; Approach - Very Long (>200): -0.013; Putting: 0.824; Around the Green: -1.312; Scoring: -0.244; Course Management: -0.263,,-0.691,0.988,0.809,-0.682,-0.33,
89,"Poston, J.T.",21554,95.1,NO,Driving Performance: -7.498; Approach - Short (<100): -0.591; Approach - Mid (100-150): -0.148; Approach - Long (150-200): 0.200; Approach - Very Long (>200): -0.292; Putting: -0.114; Around the Green: 1.592; Scoring: 0.485; Course Management: -0.074,,-0.783,0.988,0.944,-0.774,-0.02,
90,"Bridgeman, Jacob",29433,95.1,NO,Driving Performance: -5.485; Approach - Short (<100): -0.103; Approach - Mid (100-150): -0.065; Approach - Long (150-200): -0.211; Approach - Very Long (>200): -0.190; Putting: 1.410; Around the Green: -0.253; Scoring: -0.089; Course Management: -0.345,,-0.773,0.988,0.979,-0.764,-0.14,
91,"Smith, Jordan",18586,95.1,NO,Driving Performance: -6.503; Approach - Short (<100): 0.416; Approach - Mid (100-150): 0.199; Approach - Long (150-200): -0.100; Approach - Very Long (>200): -0.498; Putting: -0.663; Around the Green: -0.367; Scoring: 0.816; Course Management: -0.278,,-0.793,0.988,0.816,-0.783,-0.1,
92,"Valimaki, Sami",23816,95.1,NO,Driving Performance: -6.842; Approach - Short (<100): -0.207; Approach - Mid (100-150): -0.033; Approach - Long (150-200): 0.068; Approach - Very Long (>200): 0.151; Putting: 0.926; Around the Green: -0.258; Scoring: 0.778; Course Management: -0.112,,-0.824,0.988,0.879,-0.813,-0.08,
93,"Olesen, Thorbjorn",13412,95.1,NO,Driving Performance: -4.640; Approach - Short (<100): 0.048; Approach - Mid (100-150): -0.066; Approach - Long (150-200): -0.409; Approach - Very Long (>200): -0.127; Putting: -0.154; Around the Green: -0.534; Scoring: 0.204; Course Management: -0.662,,-0.775,0.988,0.829,-0.765,-0.21,
94,"Garnett, Brice",11451,95.1,NO,Driving Performance: -5.679; Approach - Short (<100): -0.558; Approach - Mid (100-150): -0.385; Approach - Long (150-200): -0.555; Approach - Very Long (>200): -0.542; Putting: 0.222; Around the Green: 0.765; Scoring: -0.230; Course Management: -0.383,,-0.909,0.988,0.81,-0.897,-0.31,
95,"Griffin, Ben",24968,95.1,NO,Driving Performance: -9.625; Approach - Short (<100): 0.445; Approach - Mid (100-150): -0.235; Approach - Long (150-200): 0.088; Approach - Very Long (>200): 0.167; Putting: -0.087; Around the Green: 0.769; Scoring: 0.697; Course Management: -0.192,,-1.034,0.988,1.027,-1.021,0,
96,"Mouw, William",29770,95.1,NO,Driving Performance: -4.989; Approach - Short (<100): -1.099; Approach - Mid (100-150): -0.307; Approach - Long (150-200): -0.433; Approach - Very Long (>200): 0.078; Putting: 0.940; Around the Green: -0.796; Scoring: -0.090; Course Management: -0.465,,-1.034,0.988,0.806,-1.021,-0.37,
97,"Harman, Brian",8825,95.1,NO,Driving Performance: -10.952; Approach - Short (<100): 0.773; Approach - Mid (100-150): 0.152; Approach - Long (150-200): -0.251; Approach - Very Long (>200): -0.625; Putting: -0.065; Around the Green: 1.535; Scoring: 0.232; Course Management: -0.073,,-1.092,0.988,0.827,-1.079,0.05,
98,"Horschel, Billy",11276,95.1,NO,Driving Performance: -8.737; Approach - Short (<100): -0.303; Approach - Mid (100-150): 0.122; Approach - Long (150-200): -0.118; Approach - Very Long (>200): -0.653; Putting: 0.939; Around the Green: 0.098; Scoring: 0.354; Course Management: -0.079,,-1.099,0.988,0.832,-1.085,-0.13,
99,"Brennan, Michael",29197,82.9,NO,Driving Performance: -6.640; Approach - Short (<100): 1.537; Approach - Mid (100-150): -0.458; Approach - Long (150-200): -0.049; Approach - Very Long (>200): -0.021; Putting: -1.152; Around the Green: -2.070; Scoring: -0.552; Course Management: 0.375,,-1.139,0.955,0.8,-1.088,-0.28,
100,"Kanaya, Takumi",19729,95.1,NO,Driving Performance: -6.022; Approach - Short (<100): -0.328; Approach - Mid (100-150): -0.290; Approach - Long (150-200): -0.495; Approach - Very Long (>200): -0.889; Putting: -1.346; Around the Green: -0.021; Scoring: -0.768; Course Management: -0.387,,-1.16,0.988,0.817,-1.145,-0.4,
101,"Bhatia, Akshay",26096,95.1,NO,Driving Performance: -9.442; Approach - Short (<100): -0.333; Approach - Mid (100-150): 0.157; Approach - Long (150-200): 0.117; Approach - Very Long (>200): 0.098; Putting: 0.088; Around the Green: -0.543; Scoring: 0.951; Course Management: -0.322,,-1.217,0.988,0.823,-1.202,-0.11,
102,"Riley, Davis",19872,95.1,NO,Driving Performance: -5.567; Approach - Short (<100): 0.197; Approach - Mid (100-150): -0.322; Approach - Long (150-200): -0.290; Approach - Very Long (>200): -1.213; Putting: 0.286; Around the Green: -1.846; Scoring: -0.694; Course Management: -0.462,,-1.197,0.988,0.829,-1.183,-0.43,
103,"Campos, Rafael",12909,95.1,NO,Driving Performance: -4.336; Approach - Short (<100): -1.720; Approach - Mid (100-150): -0.528; Approach - Long (150-200): -0.367; Approach - Very Long (>200): -0.861; Putting: 0.217; Around the Green: -0.726; Scoring: -0.832; Course Management: -0.339,,-1.197,0.988,0.813,-1.183,-0.53,
104,"Homa, Max",17538,95.1,NO,Driving Performance: -7.972; Approach - Short (<100): -0.204; Approach - Mid (100-150): -0.131; Approach - Long (150-200): -0.272; Approach - Very Long (>200): -0.138; Putting: 0.869; Around the Green: -0.912; Scoring: -0.044; Course Management: -0.343,,-1.251,0.988,0.865,-1.236,-0.29,
105,"Roy, Kevin",18424,95.1,NO,Driving Performance: -6.994; Approach - Short (<100): -0.033; Approach - Mid (100-150): -0.356; Approach - Long (150-200): -0.854; Approach - Very Long (>200): 0.087; Putting: -0.815; Around the Green: -0.014; Scoring: -0.482; Course Management: -0.578,,-1.231,0.988,0.816,-1.216,-0.4,
106,"Echavarria, Nico",22833,95.1,NO,Driving Performance: -6.527; Approach - Short (<100): -0.494; Approach - Mid (100-150): -0.063; Approach - Long (150-200): 0.036; Approach - Very Long (>200): -0.422; Putting: 1.298; Around the Green: -2.775; Scoring: -0.005; Course Management: -0.283,,-1.306,0.988,0.852,-1.29,-0.26,
107,"Whaley, Vince",25908,95.1,NO,Driving Performance: -8.520; Approach - Short (<100): 0.063; Approach - Mid (100-150): -0.208; Approach - Long (150-200): -0.582; Approach - Very Long (>200): -0.392; Putting: 1.195; Around the Green: -0.921; Scoring: -0.254; Course Management: -0.576,,-1.373,0.988,0.824,-1.356,-0.39,
108,"Woodland, Gary",12577,95.1,NO,Driving Performance: -8.666; Approach - Short (<100): -0.412; Approach - Mid (100-150): -0.345; Approach - Long (150-200): 0.153; Approach - Very Long (>200): 0.203; Putting: 0.193; Around the Green: -1.668; Scoring: 0.242; Course Management: -0.181,,-1.443,0.988,0.797,-1.425,-0.27,
109,"Malnati, Peter",14926,95.1,NO,Driving Performance: -11.473; Approach - Short (<100): -0.693; Approach - Mid (100-150): -0.390; Approach - Long (150-200): -0.469; Approach - Very Long (>200): -1.521; Putting: 0.484; Around the Green: 2.899; Scoring: -1.056; Course Management: -0.415,,-1.458,0.988,0.796,-1.44,-0.31,
110,"Higgo, Garrick",24342,95.1,NO,Driving Performance: -9.877; Approach - Short (<100): -0.400; Approach - Mid (100-150): -0.414; Approach - Long (150-200): -0.222; Approach - Very Long (>200): -0.377; Putting: -0.185; Around the Green: -0.085; Scoring: 0.115; Course Management: -0.390,,-1.492,0.988,0.963,-1.474,-0.3,
111,"Greyserman, Max",23465,95.1,NO,Driving Performance: -9.213; Approach - Short (<100): -0.506; Approach - Mid (100-150): -0.383; Approach - Long (150-200): -0.486; Approach - Very Long (>200): -0.292; Putting: -0.166; Around the Green: 0.114; Scoring: -0.264; Course Management: -0.402,,-1.464,0.988,0.819,-1.446,-0.39,
112,"Schauffele, Xander",19895,95.1,NO,Driving Performance: -14.071; Approach - Short (<100): 0.563; Approach - Mid (100-150): 0.076; Approach - Long (150-200): -0.013; Approach - Very Long (>200): 0.234; Putting: -0.065; Around the Green: 0.653; Scoring: 0.561; Course Management: -0.143,,-1.58,0.988,0.967,-1.561,0.02,
113,"Kizzire, Patton",13470,95.1,NO,Driving Performance: -10.557; Approach - Short (<100): -0.207; Approach - Mid (100-150): 0.083; Approach - Long (150-200): -0.558; Approach - Very Long (>200): -0.903; Putting: 0.544; Around the Green: -0.416; Scoring: -0.347; Course Management: -0.314,,-1.589,0.988,0.856,-1.569,-0.3,
114,"Highsmith, Joe",28469,95.1,NO,Driving Performance: -8.975; Approach - Short (<100): -0.618; Approach - Mid (100-150): -0.448; Approach - Long (150-200): -0.126; Approach - Very Long (>200): -0.208; Putting: 0.336; Around the Green: -1.094; Scoring: -0.286; Course Management: -0.506,,-1.569,0.988,0.79,-1.549,-0.42,
115,"Van Rooyen, Erik",17550,95.1,NO,Driving Performance: -11.044; Approach - Short (<100): -0.435; Approach - Mid (100-150): -0.190; Approach - Long (150-200): -0.249; Approach - Very Long (>200): -0.504; Putting: -0.944; Around the Green: -0.551; Scoring: -0.026; Course Management: -0.296,,-1.734,0.988,0.793,-1.713,-0.36,
116,"Potgieter, Aldrich",27900,92.7,NO,Driving Performance: -11.311; Approach - Short (<100): -0.601; Approach - Mid (100-150): -0.077; Approach - Long (150-200): -0.383; Approach - Very Long (>200): -0.358; Putting: -0.437; Around the Green: -0.973; Scoring: 0.194; Course Management: -0.477,,-1.812,0.981,0.796,-1.779,-0.35,
117,"Straka, Sepp",17511,95.1,NO,Driving Performance: -15.517; Approach - Short (<100): 0.060; Approach - Mid (100-150): 0.170; Approach - Long (150-200): 0.301; Approach - Very Long (>200): 0.236; Putting: 0.063; Around the Green: -1.075; Scoring: 1.007; Course Management: -0.003,,-1.973,0.988,0.926,-1.949,-0.05,
118,"Hall, Harry",27194,95.1,NO,Driving Performance: -17.947; Approach - Short (<100): 0.236; Approach - Mid (100-150): -0.071; Approach - Long (150-200): -0.525; Approach - Very Long (>200): -0.564; Putting: 0.467; Around the Green: 0.673; Scoring: -0.322; Course Management: -0.363,,-2.338,0.988,0.98,-2.309,-0.24,
119,"Lee, Min Woo",16841,95.1,NO,Driving Performance: -16.913; Approach - Short (<100): 0.286; Approach - Mid (100-150): -0.623; Approach - Long (150-200): -0.783; Approach - Very Long (>200): -0.543; Putting: -0.621; Around the Green: 1.120; Scoring: -0.846; Course Management: -0.344,,-2.378,0.988,0.911,-2.349,-0.35,
120,"Kitayama, Kurt",21891,95.1,NO,Driving Performance: -20.267; Approach - Short (<100): 0.008; Approach - Mid (100-150): 0.047; Approach - Long (150-200): 0.037; Approach - Very Long (>200): 0.294; Putting: 0.464; Around the Green: 0.554; Scoring: 0.683; Course Management: -0.110,,-2.435,0.988,0.843,-2.405,0.01,
121,"Campbell, Brian",18628,95.1,NO,Driving Performance: -20.632; Approach - Short (<100): -0.542; Approach - Mid (100-150): -0.067; Approach - Long (150-200): -0.059; Approach - Very Long (>200): -0.535; Putting: 0.118; Around the Green: 1.495; Scoring: -0.021; Course Management: -0.311,,-2.587,0.988,0.816,-2.555,-0.15,
122,"Kim, Michael",17543,95.1,NO,Driving Performance: -22.825; Approach - Short (<100): 0.012; Approach - Mid (100-150): 0.412; Approach - Long (150-200): 0.064; Approach - Very Long (>200): -0.414; Putting: 1.124; Around the Green: 0.142; Scoring: 0.296; Course Management: -0.106,,-2.79,0.988,0.817,-2.755,0,
123,"Hoffman, Charley",5768,95.1,NO,Driving Performance: -21.323; Approach - Short (<100): -0.521; Approach - Mid (100-150): -0.556; Approach - Long (150-200): 0.169; Approach - Very Long (>200): -0.412; Putting: -0.948; Around the Green: -0.570; Scoring: -0.456; Course Management: -0.383,,-3.139,0.988,0.796,-3.1,-0.43,
